Project,LLM,Mode,Model_Type,Model_Complexity,Pipeline_Structure,Preprocessing_Level,Feature_Engineering,Hyperparameter_Tuning,Code_Length_Class,Dependency_Level,Use_of_Pipeline_API,Error_Handling,Determinism,Optimization_Strategy,Notes
Iris-Flower-Classification-Codealpha2,codex,assisted,Support Vector Machine,moderate,complex,advanced,none,basic,short,moderate,yes,none,yes,fewer steps,Retains the original Support Vector Machine workflow; Trims unused analysis or plotting code
Iris-Flower-Classification-Codealpha2,gemini,assisted,Support Vector Machine,moderate,standard,basic,none,basic,short,moderate,yes,basic,yes,efficient data handling,Retains the original Support Vector Machine workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Iris-Flower-Classification-Codealpha2,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Support Vector Machine to Logistic Regression; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Iris-Flower-Classification-Codealpha2,gemini,autonomous,Logistic Regression,simple,standard,advanced,none,none,medium,moderate,no,basic,yes,simpler model,Switches from Support Vector Machine to Logistic Regression; Adds robust input fallback logic
Iris-Flower-Classification-Codealpha3,chatgpt,original,Random Forest,moderate,standard,basic,none,basic,short,moderate,no,none,yes,no clear optimisation,
Iris-Flower-Classification-Codealpha3,codex,assisted,Random Forest,moderate,standard,basic,none,basic,short,moderate,no,none,yes,fewer steps,Retains the original Random Forest workflow; Trims unused analysis or plotting code
Iris-Flower-Classification-Codealpha3,gemini,assisted,Random Forest,moderate,standard,basic,none,basic,short,moderate,no,basic,yes,fewer steps,Retains the original Random Forest workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Iris-Flower-Classification-Codealpha3,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Iris-Flower-Classification-Codealpha3,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
Iris-ML-Lab,chatgpt,original,Nearest Centroid,Simple,Custom,Basic,None,None,Short,Minimal,No,None,No,None,"Centroid-based classification using manually computed class means and Euclidean distance (cdist); effectively a nearest-centroid approach rather than a trained supervised model"
Iris-ML-Lab,codex,assisted,Nearest Centroid,Simple,Standard,Basic,None,None,Short,Minimal,No,None,Yes,Efficient data handling,"Refactored centroid-based classifier with vectorized NumPy distance computation, robust CSV loading, reduced dependencies (removed SciPy), and streamlined data preprocessing while preserving the original approach"
Iris-ML-Lab,gemini,assisted,Nearest Centroid,Simple,Standard,Basic,None,None,Short,Minimal,No,None,No,Efficient data handling,"Refactored centroid-based classifier using numpy.genfromtxt for efficient loading, vectorized centroid computation, and SciPy cdist for optimized distance calculation while simplifying preprocessing and removing overhead"
Iris-ML-Lab,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Iris-ML-Lab,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,fewer steps,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
JunctionalClassifier,chatgpt,original,Neural Network,high,standard,basic,none,none,medium,heavy,no,basic,no,no clear optimisation,Includes plotting or heavyweight dependencies
JunctionalClassifier,codex,assisted,Neural Network,high,standard,basic,none,none,long,moderate,no,structured,yes,fewer steps,Retains the original Neural Network workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
JunctionalClassifier,gemini,assisted,Neural Network,high,standard,basic,none,none,short,moderate,no,basic,yes,efficient data handling,Retains the original Neural Network workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
JunctionalClassifier,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Neural Network to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
JunctionalClassifier2,chatgpt,original,K-Nearest Neighbours,simple,minimal,none,none,basic,short,moderate,no,basic,no,no clear optimisation,
JunctionalClassifier2,codex,assisted,K-Nearest Neighbours,Simple,Minimal,Basic,None,None,Long,Moderate,No,Basic,Yes,Efficient data handling,"Assisted refactoring centers on robust model loading and evaluation of a pre-trained KNN model, with vectorized CSV parsing, numeric coercion, fallback handling, and reuse of stored training data rather than retraining"
JunctionalClassifier2,gemini,assisted,K-Nearest Neighbours,simple,standard,basic,none,basic,short,moderate,no,basic,yes,fewer steps,Retains the original K-Nearest Neighbours workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
JunctionalClassifier2,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Switches from K-Nearest Neighbours to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
JunctionalClassifier2,gemini,autonomous,LogisticRegression,Simple,Standard,Basic,None,None,Long,Moderate,Yes,Basic,Yes,Simpler model,"Autonomous solution replaces the original pre-trained model workflow with a lightweight sklearn pipeline using imputation, scaling, one-hot encoding, heuristic target inference, and logistic regression with regression fallback"
JunctionalClassifier3,chatgpt,original,Support Vector Machine,moderate,minimal,none,none,basic,short,heavy,no,basic,no,no clear optimisation,Includes plotting or heavyweight dependencies
JunctionalClassifier3,codex,assisted,Support Vector Machine,moderate,minimal,none,none,basic,long,moderate,no,structured,yes,fewer steps,Retains the original Support Vector Machine workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
JunctionalClassifier3,gemini,assisted,Support Vector Machine,moderate,minimal,none,none,basic,short,moderate,no,structured,yes,fewer steps,Retains the original Support Vector Machine workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
JunctionalClassifier3,gemini,autonomous,LogisticRegression,Simple,Standard,Basic,None,None,Long,Moderate,Yes,Basic,Yes,Simpler model,"Autonomous solution uses a lightweight sklearn pipeline with imputation, scaling, one-hot encoding, heuristic target detection, and logistic regression with a regression fallback, prioritizing robustness and low computational cost"
K-Nearest-Neighbor-Algorithm,chatgpt,original,K-Nearest Neighbours,simple,minimal,none,none,none,short,minimal,no,none,no,no clear optimisation,
K-Nearest-Neighbor-Algorithm,codex,assisted,K-Nearest Neighbours,simple,minimal,none,none,none,long,moderate,no,basic,yes,fewer steps,Adds robust input fallback logic; Trims unused analysis or plotting code
K-Nearest-Neighbor-Algorithm,gemini,assisted,K-Nearest Neighbours,simple,minimal,none,none,basic,short,moderate,no,basic,yes,efficient data handling,Adds robust input fallback logic; Trims unused analysis or plotting code
K-Nearest-Neighbor-Algorithm,codex,autonomous,Multinomial Naive Bayes,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,reduced preprocessing,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
K-Nearest-Neighbor-Algorithm,gemini,autonomous,Logistic Regression,simple,complex,basic,none,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
MachineLearn-WineClassifier,chatgpt,original,Extra Trees,high,minimal,none,none,basic,short,moderate,no,none,yes,no clear optimisation,
MachineLearn-WineClassifier,codex,assisted,Extra Trees,high,standard,basic,none,basic,medium,moderate,no,none,yes,fewer steps,Retains the original Extra Trees workflow; Trims unused analysis or plotting code
MachineLearn-WineClassifier,gemini,assisted,Extra Trees,high,standard,basic,none,basic,short,moderate,no,basic,yes,efficient data handling,Retains the original Extra Trees workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
MachineLearn-WineClassifier,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Switches from Extra Trees to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
MachineLearn-WineClassifier,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Switches from Extra Trees to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
MaliciousSoftwareClassification,chatgpt,original,LightGBM,High,Complex,Basic,None,Advanced,Long,Heavy,No,Basic,Yes,No clear optimisation,"Multiclass LightGBM workflow with 5-fold stratified cross-validation, extensive metric reporting, feature importance extraction, and prediction/export steps; includes tuned hyperparameters and full evaluation/output pipeline"
MaliciousSoftwareClassification,codex,assisted,LightGBM,High,Complex,Basic,None,Advanced,Long,Heavy,No,None,Yes,Efficient data handling,"Refactored multiclass LightGBM workflow with robust CSV parsing, NumPy-based feature extraction, reduced DataFrame overhead, removal of feature-importance steps, and memory cleanup while preserving cross-validation and evaluation behavior"
MaliciousSoftwareClassification,gemini,assisted,LightGBM,High,Complex,Basic,None,Advanced,Long,Heavy,No,None,No,Efficient data handling,"Refactored multiclass LightGBM workflow with numeric downcasting, NumPy-based cross-validation inputs, streamlined feature-importance aggregation, reduced logging and plotting overhead, and preserved 5-fold evaluation and export behavior"
MaliciousSoftwareClassification,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
MaliciousSoftwareClassification,gemini,autonomous,Decision Tree,moderate,standard,basic,none,basic,medium,moderate,no,basic,yes,efficient data handling,Adds robust input fallback logic
ML_CSV_Classification,chatgpt,original,Random Forest,moderate,standard,basic,none,basic,short,moderate,no,none,yes,no clear optimisation,
ML_CSV_Classification,codex,assisted,Random Forest,moderate,standard,basic,none,basic,medium,moderate,no,structured,yes,fewer steps,Retains the original Random Forest workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
ML_CSV_Classification,gemini,assisted,Random Forest,moderate,minimal,none,none,basic,short,moderate,no,basic,yes,fewer steps,Retains the original Random Forest workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
ML_CSV_Classification,gemini,autonomous,LogisticRegression,Simple,Standard,Basic,None,None,Long,Moderate,Yes,Basic,Yes,Simpler model,"Autonomous solution builds a lightweight sklearn pipeline with imputation, scaling, one-hot encoding, heuristic target detection, and logistic regression with ridge regression fallback, prioritizing robustness and low computational cost"
Multi-Turn-Intent-Classification,chatgpt,original,Zero-shot Transformer Classifier,High,Standard,Basic,None,None,Medium,Heavy,No,None,No,None,"Uses a Hugging Face zero-shot classification pipeline with a pretrained transformer model, conversation formatting, and JSON/CSV output generation; includes text cleaning utilities that are defined but not used in the prediction flow"
Multi-Turn-Intent-Classification,codex,assisted,Zero-shot Transformer Classifier,High,Standard,Basic,None,None,Long,Heavy,No,None,Yes,Efficient data handling,"Refactored zero-shot transformer intent classifier with batched inference, schema-aware label detection, incremental batch processing, deterministic seeding, and retained JSON/CSV output generation while reducing runtime overhead"
Multi-Turn-Intent-Classification,gemini,assisted,Zero-shot Transformer Classifier,High,Standard,Basic,None,None,Medium,Heavy,No,Basic,No,Efficient data handling,"Refactored zero-shot transformer intent classifier with batched inference, optional GPU execution, truncation for long conversations, simplified preprocessing, and retained JSON/CSV output generation while improving throughput"
Multi-Turn-Intent-Classification,codex,autonomous,Logistic Regression,simple,complex,advanced,basic,none,long,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
Multi-Turn-Intent-Classification,gemini,autonomous,Logistic Regression,simple,complex,basic,basic,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
Na-ve-bayes-algorithm-to-classify-the-fetal-health-,chatgpt,original,Gaussian Naive Bayes,simple,minimal,none,none,none,short,moderate,no,none,yes,no clear optimisation,
Na-ve-bayes-algorithm-to-classify-the-fetal-health-,codex,assisted,Gaussian Naive Bayes,simple,minimal,none,none,none,medium,moderate,no,basic,yes,fewer steps,Retains the original Gaussian Naive Bayes workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Na-ve-bayes-algorithm-to-classify-the-fetal-health-,gemini,assisted,Gaussian Naive Bayes,simple,minimal,none,none,none,short,moderate,no,basic,yes,fewer steps,Retains the original Gaussian Naive Bayes workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Na-ve-bayes-algorithm-to-classify-the-fetal-health-,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,reduced preprocessing,Switches from Gaussian Naive Bayes to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
Na-ve-bayes-algorithm-to-classify-the-fetal-health-,gemini,autonomous,Gaussian Naive Bayes,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,efficient data handling,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Network_Intrusion_Detection_System,chatgpt,original,XGBoost,high,standard,none,advanced,basic,short,heavy,no,none,yes,no clear optimisation,Includes plotting or heavyweight dependencies
Network_Intrusion_Detection_System,codex,assisted,XGBoost,high,standard,none,advanced,basic,medium,heavy,no,none,yes,fewer steps,Retains the original XGBoost workflow
Network_Intrusion_Detection_System,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Switches from XGBoost to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Network_Intrusion_Detection_System,gemini,autonomous,Decision Tree,moderate,complex,advanced,none,basic,medium,moderate,yes,basic,yes,simpler model,Switches from XGBoost to Decision Tree; Adds a structured sklearn pipeline; Adds robust input fallback logic
Predicting-heart-diseases-,chatgpt,original,Logistic Regression,simple,complex,basic,none,advanced,short,heavy,no,none,yes,no clear optimisation,Trains additional models beyond the reported score; Includes plotting or heavyweight dependencies
Predicting-heart-diseases-,codex,assisted,Logistic Regression,simple,minimal,none,none,none,medium,moderate,no,basic,yes,fewer steps,Retains the original Logistic Regression workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Predicting-heart-diseases-,gemini,assisted,Multiple Classifiers,High,Complex,Basic,None,Basic,Medium,Moderate,No,None,Yes,No clear optimisation,"Assisted refactoring retains a multi-model evaluation strategy with min-max scaling and train/test split, comparing Logistic Regression, KNN, SVM, GaussianNB, Decision Tree, and Random Forest, while removing plotting and reducing overhead"
Predicting-heart-diseases-,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Predicting-heart-diseases-,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Rock-or-Mine-prediction,chatgpt,original,Logistic Regression,simple,minimal,none,none,none,short,moderate,no,none,yes,no clear optimisation,
Rock-or-Mine-prediction,codex,assisted,Logistic Regression,simple,minimal,none,none,none,short,moderate,no,basic,yes,fewer steps,Retains the original Logistic Regression workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Rock-or-Mine-prediction,gemini,assisted,Logistic Regression,simple,minimal,none,none,none,short,moderate,no,basic,yes,fewer steps,Retains the original Logistic Regression workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Rock-or-Mine-prediction,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Rock-or-Mine-prediction,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
SCT_ML_3,chatgpt,original,Support Vector Machine,moderate,standard,basic,none,basic,short,moderate,no,none,yes,no clear optimisation,
SCT_ML_3,codex,assisted,Support Vector Machine,moderate,standard,basic,none,basic,medium,moderate,no,none,yes,fewer steps,Retains the original Support Vector Machine workflow; Trims unused analysis or plotting code
SCT_ML_3,gemini,assisted,Support Vector Machine,moderate,minimal,none,none,basic,short,moderate,no,basic,yes,efficient data handling,Retains the original Support Vector Machine workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
SCT_ML_3,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,reduced preprocessing,Switches from Support Vector Machine to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
SCT_ML_3,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,reduced preprocessing,Switches from Support Vector Machine to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
Simple-Naive-Bayes-on-Iris-Dataset,chatgpt,original,Gaussian Naive Bayes,simple,complex,basic,none,none,short,moderate,no,none,yes,no clear optimisation,Trains additional models beyond the reported score
Simple-Naive-Bayes-on-Iris-Dataset,codex,assisted,Gaussian Naive Bayes,simple,complex,basic,none,none,medium,moderate,no,none,yes,fewer steps,Retains the original Gaussian Naive Bayes workflow; Trims unused analysis or plotting code
Simple-Naive-Bayes-on-Iris-Dataset,gemini,assisted,Gaussian Naive Bayes,simple,complex,none,none,none,short,moderate,no,basic,yes,fewer steps,Retains the original Gaussian Naive Bayes workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Simple-Naive-Bayes-on-Iris-Dataset,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Switches from Gaussian Naive Bayes to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Simple-Naive-Bayes-on-Iris-Dataset,gemini,autonomous,Gaussian Naive Bayes,Simple,Standard,Basic,None,None,Long,Moderate,No,Basic,Yes,Simpler model,"Autonomous solution builds a lightweight Gaussian Naive Bayes pipeline with robust CSV loading, target inference, numeric feature filtering, imputation, scaling, and a linear-regression fallback for non-classification cases"
Social-Network-Ads,chatgpt,original,Logistic Regression,simple,standard,basic,none,none,short,heavy,no,none,yes,no clear optimisation,Includes plotting or heavyweight dependencies
Social-Network-Ads,codex,assisted,Logistic Regression,simple,standard,basic,none,none,medium,moderate,no,none,yes,fewer steps,Retains the original Logistic Regression workflow; Trims unused analysis or plotting code
Social-Network-Ads,gemini,assisted,Logistic Regression,simple,standard,basic,none,none,short,moderate,no,basic,yes,efficient data handling,Retains the original Logistic Regression workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Social-Network-Ads,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Social-Network-Ads,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Spam-Email-Classifier,chatgpt,original,Multinomial Naive Bayes,simple,standard,basic,basic,none,short,moderate,no,none,no,no clear optimisation,
Spam-Email-Classifier,codex,assisted,Multinomial Naive Bayes,simple,standard,basic,basic,none,short,moderate,no,basic,yes,simpler model,Retains the original Multinomial Naive Bayes workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
Spam-Email-Classifier,gemini,assisted,Multinomial Naive Bayes,simple,standard,none,basic,none,short,moderate,no,basic,yes,fewer steps,Retains the original Multinomial Naive Bayes workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
Spam-Email-Classifier,codex,autonomous,Multinomial Naive Bayes,simple,complex,advanced,basic,none,long,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
Spam-Email-Classifier,gemini,autonomous,Multinomial Naive Bayes,simple,complex,basic,basic,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
spam-ham-detection,chatgpt,original,Support Vector Machine,moderate,standard,none,basic,none,short,moderate,no,none,yes,no clear optimisation,
spam-ham-detection,codex,assisted,Support Vector Machine,moderate,standard,none,basic,advanced,medium,moderate,no,basic,yes,fewer steps,Retains the original Support Vector Machine workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
spam-ham-detection,gemini,assisted,Support Vector Machine,moderate,standard,none,basic,none,short,moderate,no,basic,yes,fewer steps,Retains the original Support Vector Machine workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
spam-ham-detection,codex,autonomous,Multinomial Naive Bayes,simple,complex,advanced,basic,none,medium,moderate,yes,structured,yes,simpler model,Switches from Support Vector Machine to Multinomial Naive Bayes; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
spam-ham-detection,gemini,autonomous,Multinomial Naive Bayes,simple,complex,basic,basic,none,medium,moderate,yes,basic,yes,fewer steps,Switches from Support Vector Machine to Multinomial Naive Bayes; Adds a structured sklearn pipeline; Adds robust input fallback logic
SparkMLClassification,chatgpt,original,Random Forest,moderate,complex,advanced,none,basic,medium,heavy,no,none,no,no clear optimisation,Includes plotting or heavyweight dependencies
SparkMLClassification,codex,assisted,Random Forest,moderate,complex,advanced,none,basic,medium,heavy,no,structured,yes,efficient data handling,Retains the original Random Forest workflow; Adds robust input fallback logic
SparkMLClassification,gemini,assisted,Random Forest,moderate,complex,advanced,none,basic,medium,heavy,yes,basic,no,fewer steps,Retains the original Random Forest workflow; Adds a structured sklearn pipeline; Adds robust input fallback logic
SparkMLClassification,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,efficient data handling,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
SparkMLClassification,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
student-math-ml-analysis,chatgpt,original,K-Nearest Neighbours,simple,complex,basic,none,basic,medium,heavy,no,none,yes,no clear optimisation,Trains additional models beyond the reported score; Includes plotting or heavyweight dependencies
student-math-ml-analysis,codex,assisted,Support Vector Machine,moderate,complex,basic,none,basic,medium,moderate,no,none,yes,efficient data handling,Switches from K-Nearest Neighbours to Support Vector Machine; Trims unused analysis or plotting code
student-math-ml-analysis,gemini,assisted,Random Forest,moderate,complex,basic,none,basic,short,moderate,no,basic,yes,fewer steps,Switches from K-Nearest Neighbours to Random Forest; Adds robust input fallback logic; Trims unused analysis or plotting code
student-math-ml-analysis,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from K-Nearest Neighbours to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
student-math-ml-analysis,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from K-Nearest Neighbours to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
Supervised-Data-mining-Customer-satisfaction-prediction-,chatgpt,original,Random Forest,moderate,standard,basic,none,advanced,medium,heavy,no,none,yes,no clear optimisation,Includes plotting or heavyweight dependencies
Supervised-Data-mining-Customer-satisfaction-prediction-,codex,assisted,Gradient Boosting,high,standard,basic,none,basic,medium,heavy,no,basic,yes,fewer steps,Switches from Random Forest to Gradient Boosting; Adds robust input fallback logic
Supervised-Data-mining-Customer-satisfaction-prediction-,gemini,assisted,Gradient Boosting,high,complex,basic,none,advanced,medium,heavy,no,basic,yes,fewer steps,Switches from Random Forest to Gradient Boosting; Adds robust input fallback logic; Includes explicit search or multi-model selection
Supervised-Data-mining-Customer-satisfaction-prediction-,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Supervised-Data-mining-Customer-satisfaction-prediction-,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,efficient data handling,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
Svm-GridsearchCV,chatgpt,original,Support Vector Machine,moderate,minimal,none,none,advanced,short,moderate,no,none,yes,no clear optimisation,
Svm-GridsearchCV,codex,assisted,Support Vector Machine,moderate,minimal,none,none,advanced,short,moderate,no,none,yes,fewer steps,Retains the original Support Vector Machine workflow; Includes explicit search or multi-model selection
Svm-GridsearchCV,gemini,assisted,Support Vector Machine,moderate,standard,basic,none,advanced,short,moderate,no,basic,yes,fewer steps,Retains the original Support Vector Machine workflow; Adds robust input fallback logic; Includes explicit search or multi-model selection
Svm-GridsearchCV,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Support Vector Machine to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Svm-GridsearchCV,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Support Vector Machine to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
Voting-Data-Classification,chatgpt,original,Linear SVM,moderate,complex,none,basic,basic,medium,heavy,no,none,yes,no clear optimisation,Trains additional models beyond the reported score; Includes plotting or heavyweight dependencies
Voting-Data-Classification,codex,assisted,Linear SVM,moderate,standard,none,basic,none,medium,moderate,no,basic,yes,fewer steps,Retains the original Linear SVM workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
Voting-Data-Classification,gemini,assisted,Linear SVM,moderate,standard,none,basic,none,short,moderate,no,basic,yes,fewer steps,Retains the original Linear SVM workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
Voting-Data-Classification,codex,autonomous,Multinomial Naive Bayes,simple,complex,advanced,basic,none,medium,moderate,yes,structured,yes,simpler model,Switches from Linear SVM to Multinomial Naive Bayes; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
Voting-Data-Classification,gemini,autonomous,Logistic Regression,simple,complex,basic,basic,none,medium,moderate,yes,structured,yes,simpler model,Switches from Linear SVM to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
